pipeline,split,metric,value,source
Human-guided,validation,roc_auc,0.848966613672496,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,validation,pr_auc,0.5606217053146204,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,validation,loss,0.857040524482727,Human-guided final result artifact: 01_TaskA_CXR/04_Training/TaskA_CXR_最終学習条件サマリー.csv
Human-guided,validation,brier,,not recorded in the artefacts read
Human-guided,validation,ece,,not recorded in the artefacts read
Human-guided,validation,threshold_youden,0.5699251294136047,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,validation,sensitivity_at_threshold,0.7058823529411765,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,validation,specificity_at_threshold,0.8648648648648649,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,validation,youden_index,0.5707472178060413,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
AI-Agent,validation,roc_auc,0.8717541070482246,AI-Agent frozen: final_selection.json primary_analysis.validation_metrics
AI-Agent,validation,pr_auc,0.5622825725468731,AI-Agent frozen: final_selection.json
AI-Agent,validation,loss,,not recorded in the artefacts read
AI-Agent,validation,brier,0.09647866414663282,AI-Agent frozen: final_selection.json
AI-Agent,validation,ece,,not recorded in the artefacts read
AI-Agent,validation,threshold_youden,0.008507705,AI-Agent frozen: final_selection.json
AI-Agent,validation,sensitivity_at_threshold,1.0,AI-Agent frozen: final_selection.json
AI-Agent,validation,specificity_at_threshold,0.6396396396396397,AI-Agent frozen: final_selection.json
AI-Agent,validation,youden_index,0.6396396396396398,Derived from final_selection.json sensitivity + specificity − 1
Human-guided,test,roc_auc,0.9072602013778484,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,test,roc_auc_ci_low,0.8357180710121888,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,test,roc_auc_ci_high,0.9629040805511394,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
Human-guided,test,pr_auc,0.6229264898057557,Human-guided final result artifact: 01_TaskA_CXR/05_Evaluation/TaskA_CXR_最終評価サマリー.csv
