model,pipeline,bin,bin_low,bin_high,n,events,mean_predicted,observed_rate,abs_gap,weight
LR,Human-guided,0,0.0,0.1,87,1,0.028284,0.011494,0.01679,0.679688
LR,Human-guided,1,0.1,0.2,16,3,0.143437,0.1875,0.044063,0.125
LR,Human-guided,2,0.2,0.3,7,1,0.255185,0.142857,0.112328,0.054688
LR,Human-guided,3,0.3,0.4,1,0,0.3086,0.0,0.3086,0.007812
LR,Human-guided,4,0.4,0.5,7,3,0.469621,0.428571,0.041049,0.054688
LR,Human-guided,5,0.5,0.6,4,3,0.551865,0.75,0.198135,0.03125
LR,Human-guided,6,0.6,0.7,1,1,0.650525,1.0,0.349475,0.007812
LR,Human-guided,7,0.7,0.8,2,2,0.788493,1.0,0.211507,0.015625
LR,Human-guided,8,0.8,0.9,1,1,0.885586,1.0,0.114414,0.007812
LR,Human-guided,9,0.9,1.0,2,2,0.97041,1.0,0.02959,0.015625
LR,AI-Agent,0,0.0,0.1,51,0,0.046478,0.0,0.046478,0.398438
LR,AI-Agent,1,0.1,0.2,20,0,0.138663,0.0,0.138663,0.15625
LR,AI-Agent,2,0.2,0.3,9,0,0.251693,0.0,0.251693,0.070312
LR,AI-Agent,3,0.3,0.4,9,1,0.339458,0.111111,0.228347,0.070312
LR,AI-Agent,4,0.4,0.5,10,2,0.441397,0.2,0.241397,0.078125
LR,AI-Agent,5,0.5,0.6,7,0,0.541693,0.0,0.541693,0.054688
LR,AI-Agent,6,0.6,0.7,3,1,0.679548,0.333333,0.346215,0.023438
LR,AI-Agent,7,0.7,0.8,2,1,0.710311,0.5,0.210311,0.015625
LR,AI-Agent,8,0.8,0.9,7,4,0.863788,0.571429,0.29236,0.054688
LR,AI-Agent,9,0.9,1.0,10,8,0.950857,0.8,0.150857,0.078125
XGBoost,Human-guided,0,0.0,0.1,80,1,0.035406,0.0125,0.022906,0.625
XGBoost,Human-guided,1,0.1,0.2,20,1,0.139039,0.05,0.089039,0.15625
XGBoost,Human-guided,2,0.2,0.3,7,3,0.218078,0.428571,0.210494,0.054688
XGBoost,Human-guided,3,0.3,0.4,6,0,0.35664,0.0,0.35664,0.046875
XGBoost,Human-guided,4,0.4,0.5,9,7,0.450169,0.777778,0.327609,0.070312
XGBoost,Human-guided,5,0.5,0.6,3,2,0.519743,0.666667,0.146923,0.023438
XGBoost,Human-guided,6,0.6,0.7,2,2,0.633562,1.0,0.366438,0.015625
XGBoost,Human-guided,7,0.7,0.8,1,1,0.794855,1.0,0.205145,0.007812
XGBoost,AI-Agent,0,0.0,0.1,90,1,0.02227,0.011111,0.011158,0.703125
XGBoost,AI-Agent,1,0.1,0.2,14,3,0.150994,0.214286,0.063292,0.109375
XGBoost,AI-Agent,2,0.2,0.3,4,1,0.266794,0.25,0.016794,0.03125
XGBoost,AI-Agent,3,0.3,0.4,4,3,0.315054,0.75,0.434946,0.03125
XGBoost,AI-Agent,4,0.4,0.5,4,3,0.444112,0.75,0.305888,0.03125
XGBoost,AI-Agent,5,0.5,0.6,4,0,0.539069,0.0,0.539069,0.03125
XGBoost,AI-Agent,6,0.6,0.7,2,2,0.614563,1.0,0.385437,0.015625
XGBoost,AI-Agent,7,0.7,0.8,3,1,0.756617,0.333333,0.423284,0.023438
XGBoost,AI-Agent,8,0.8,0.9,3,3,0.843582,1.0,0.156418,0.023438
MLP,Human-guided,1,0.1,0.2,1,0,0.189112,0.0,0.189112,0.007812
MLP,Human-guided,2,0.2,0.3,10,0,0.274055,0.0,0.274055,0.078125
MLP,Human-guided,3,0.3,0.4,59,1,0.344491,0.016949,0.327542,0.460938
MLP,Human-guided,4,0.4,0.5,26,3,0.443501,0.115385,0.328116,0.203125
MLP,Human-guided,5,0.5,0.6,16,3,0.55146,0.1875,0.36396,0.125
MLP,Human-guided,6,0.6,0.7,8,3,0.651155,0.375,0.276155,0.0625
MLP,Human-guided,7,0.7,0.8,4,3,0.721354,0.75,0.028646,0.03125
MLP,Human-guided,8,0.8,0.9,3,3,0.829515,1.0,0.170485,0.023438
MLP,Human-guided,9,0.9,1.0,1,1,0.916366,1.0,0.083634,0.007812
MLP,AI-Agent,1,0.1,0.2,12,0,0.173405,0.0,0.173405,0.09375
MLP,AI-Agent,2,0.2,0.3,23,0,0.258792,0.0,0.258792,0.179688
MLP,AI-Agent,3,0.3,0.4,34,0,0.347004,0.0,0.347004,0.265625
MLP,AI-Agent,4,0.4,0.5,24,3,0.446758,0.125,0.321758,0.1875
MLP,AI-Agent,5,0.5,0.6,10,1,0.546027,0.1,0.446027,0.078125
MLP,AI-Agent,6,0.6,0.7,9,2,0.648816,0.222222,0.426594,0.070312
MLP,AI-Agent,7,0.7,0.8,7,3,0.750875,0.428571,0.322304,0.054688
MLP,AI-Agent,8,0.8,0.9,5,4,0.822526,0.8,0.022526,0.039062
MLP,AI-Agent,9,0.9,1.0,4,4,0.939601,1.0,0.060399,0.03125
