stage,condition,weight_decay,batch_size,pos_weight,hidden,dropout,lr,cv_mean_auroc,cv_sd_auroc,cv_mean_auprc,val_auroc,val_auprc,best_epoch,seconds
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.001_batch_size=32_pos_weight=6.562962962962963",0.001,32,6.562962962962963,"(32, 16)",0.3,0.0003,0.879615,0.044333,0.563256,0.864865,0.647555,15,85.9
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.001_batch_size=64_pos_weight=6.562962962962963",0.001,64,6.562962962962963,"(32, 16)",0.3,0.0003,0.879213,0.046559,0.566102,0.864335,0.633618,21,49.6
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.0001_batch_size=64_pos_weight=6.562962962962963",0.0001,64,6.562962962962963,"(32, 16)",0.3,0.0003,0.879101,0.046195,0.564136,0.864335,0.633618,21,48.4
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.0001_batch_size=32_pos_weight=6.562962962962963",0.0001,32,6.562962962962963,"(32, 16)",0.3,0.0003,0.879086,0.044324,0.56618,0.864865,0.647555,15,85.0
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.001_batch_size=32_pos_weight=1.0",0.001,32,1.0,"(32, 16)",0.3,0.0003,0.876511,0.045686,0.562409,0.892422,0.699572,54,69.8
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(32, 16)_dropout=0.3_lr=0.0003",0.0001,32,1.0,"(32, 16)",0.3,0.0003,0.876271,0.044212,0.56178,0.892422,0.699572,54,93.3
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.0001_batch_size=32_pos_weight=1.0",0.0001,32,1.0,"(32, 16)",0.3,0.0003,0.876271,0.044212,0.56178,0.892422,0.699572,54,84.1
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(32, 16)_dropout=0.3_lr=0.001",0.0001,32,1.0,"(32, 16)",0.3,0.001,0.876143,0.045778,0.56268,0.9062,0.703955,45,54.1
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.001_batch_size=64_pos_weight=1.0",0.001,64,1.0,"(32, 16)",0.3,0.0003,0.873352,0.043981,0.550116,0.887122,0.673523,81,46.4
2,"hidden=(32, 16)_dropout=0.3_lr=0.0003_weight_decay=0.0001_batch_size=64_pos_weight=1.0",0.0001,64,1.0,"(32, 16)",0.3,0.0003,0.873158,0.04418,0.549305,0.887122,0.673523,81,50.4
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(32, 16)_dropout=0.2_lr=0.001",0.0001,32,1.0,"(32, 16)",0.2,0.001,0.873044,0.045405,0.556897,0.888182,0.643158,45,56.8
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(32, 16)_dropout=0.3_lr=0.0001",0.0001,32,1.0,"(32, 16)",0.3,0.0001,0.872584,0.043325,0.545353,0.885533,0.672141,119,122.2
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(16, 8)_dropout=0.3_lr=0.001",0.0001,32,1.0,"(16, 8)",0.3,0.001,0.872077,0.038526,0.530056,0.901431,0.68958,52,74.4
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(32, 16)_dropout=0.2_lr=0.0003",0.0001,32,1.0,"(32, 16)",0.2,0.0003,0.870953,0.042939,0.543762,0.881293,0.6343,72,66.4
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(32, 16)_dropout=0.2_lr=0.0001",0.0001,32,1.0,"(32, 16)",0.2,0.0001,0.870647,0.04299,0.544205,0.885003,0.665128,122,114.3
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(16, 8)_dropout=0.2_lr=0.001",0.0001,32,1.0,"(16, 8)",0.2,0.001,0.870564,0.041709,0.541044,0.895072,0.694868,61,72.1
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(16, 8)_dropout=0.2_lr=0.0003",0.0001,32,1.0,"(16, 8)",0.2,0.0003,0.86816,0.036648,0.524462,0.897191,0.689622,143,106.6
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(16, 8)_dropout=0.3_lr=0.0003",0.0001,32,1.0,"(16, 8)",0.3,0.0003,0.865941,0.032795,0.503856,0.898251,0.674916,138,106.5
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(16, 8)_dropout=0.2_lr=0.0001",0.0001,32,1.0,"(16, 8)",0.2,0.0001,0.856544,0.036556,0.493293,0.900371,0.635912,193,169.7
1,"weight_decay=0.0001_batch_size=32_pos_weight=1.0_hidden=(16, 8)_dropout=0.3_lr=0.0001",0.0001,32,1.0,"(16, 8)",0.3,0.0001,0.85566,0.0368,0.47891,0.895601,0.643584,199,174.6
