stage,condition,subsample,colsample_bytree,scale_pos_weight,reg_lambda,max_depth,learning_rate,min_child_weight,cv_mean_auroc,cv_sd_auroc,cv_mean_auprc,val_auroc,val_auprc,seconds
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=10.0,1.0,0.8,1.0,10.0,3,0.03,10,0.884318,0.038048,0.571145,0.878643,0.593184,7.6
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.03_min_child_weight=10,0.8,0.8,1.0,1.0,3,0.03,10,0.883665,0.03715,0.567962,0.883413,0.559201,7.2
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0,0.8,0.8,1.0,1.0,3,0.03,10,0.883665,0.03715,0.567962,0.883413,0.559201,7.4
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0,1.0,0.8,1.0,1.0,3,0.03,10,0.883318,0.036175,0.562782,0.881823,0.612634,7.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.03_min_child_weight=10,0.8,0.8,1.0,1.0,2,0.03,10,0.88308,0.036839,0.56914,0.882883,0.56238,6.4
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=1.0,0.8,1.0,1.0,1.0,3,0.03,10,0.882939,0.038378,0.568335,0.881293,0.596022,7.9
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=10.0,0.8,0.8,1.0,10.0,3,0.03,10,0.882422,0.0394,0.570048,0.879173,0.565519,7.4
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.05_min_child_weight=10,0.8,0.8,1.0,1.0,2,0.05,10,0.88185,0.038315,0.56799,0.880233,0.54991,8.0
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=10.0,0.8,1.0,1.0,10.0,3,0.03,10,0.8816,0.039756,0.572741,0.879173,0.571569,8.6
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=10.0,1.0,1.0,1.0,10.0,3,0.03,10,0.881279,0.039261,0.567224,0.874934,0.565694,7.6
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.05_min_child_weight=10,0.8,0.8,1.0,1.0,3,0.05,10,0.881139,0.039948,0.568769,0.879703,0.548301,7.7
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=1.0,1.0,1.0,1.0,1.0,3,0.03,10,0.880961,0.037439,0.560846,0.873874,0.606367,7.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.03_min_child_weight=5,0.8,0.8,1.0,1.0,2,0.03,5,0.879266,0.038743,0.572112,0.880763,0.571827,6.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.03_min_child_weight=5,0.8,0.8,1.0,1.0,3,0.03,5,0.879051,0.038949,0.564485,0.883943,0.580913,7.8
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.03_min_child_weight=1,0.8,0.8,1.0,1.0,2,0.03,1,0.878713,0.039859,0.569633,0.888182,0.605188,6.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.1_min_child_weight=10,0.8,0.8,1.0,1.0,3,0.1,10,0.877125,0.039181,0.560995,0.880763,0.555791,7.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.03_min_child_weight=1,0.8,0.8,1.0,1.0,3,0.03,1,0.87671,0.040113,0.559063,0.885533,0.58917,8.8
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=0.8_scale_pos_weight=6.562962962962963_reg_lambda=10.0,0.8,0.8,6.562962962962963,10.0,3,0.03,10,0.876284,0.040795,0.558644,0.859036,0.521543,7.5
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.05_min_child_weight=1,0.8,0.8,1.0,1.0,2,0.05,1,0.875124,0.039445,0.56207,0.887122,0.583974,6.7
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.05_min_child_weight=5,0.8,0.8,1.0,1.0,3,0.05,5,0.87498,0.037173,0.558432,0.863805,0.502413,8.0
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.05_min_child_weight=5,0.8,0.8,1.0,1.0,2,0.05,5,0.874913,0.039873,0.556174,0.869634,0.543412,7.2
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.1_min_child_weight=10,0.8,0.8,1.0,1.0,2,0.1,10,0.874757,0.039292,0.556888,0.874934,0.517662,7.0
