stage,condition,subsample,colsample_bytree,scale_pos_weight,reg_lambda,max_depth,learning_rate,min_child_weight,cv_mean_auroc,cv_sd_auroc,cv_mean_auprc,val_auroc,val_auprc,seconds
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0,0.8,0.8,1.0,1.0,3,0.03,10,0.884746,0.039294,0.574315,0.880763,0.549404,7.2
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.03_min_child_weight=10,0.8,0.8,1.0,1.0,3,0.03,10,0.884746,0.039294,0.574315,0.880763,0.549404,7.4
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=1.0,0.8,1.0,1.0,1.0,3,0.03,10,0.883996,0.039605,0.575648,0.875464,0.546454,7.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.03_min_child_weight=10,0.8,0.8,1.0,1.0,2,0.03,10,0.88372,0.039041,0.575688,0.885003,0.560348,6.1
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=10.0,1.0,0.8,1.0,10.0,3,0.03,10,0.883522,0.039321,0.574305,0.875464,0.572414,7.1
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.05_min_child_weight=10,0.8,0.8,1.0,1.0,2,0.05,10,0.883325,0.038877,0.57313,0.882883,0.542988,6.3
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0,1.0,0.8,1.0,1.0,3,0.03,10,0.883218,0.03874,0.573038,0.866455,0.556568,7.6
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.05_min_child_weight=10,0.8,0.8,1.0,1.0,3,0.05,10,0.883014,0.039567,0.564044,0.872814,0.52637,7.1
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=1.0,1.0,1.0,1.0,1.0,3,0.03,10,0.882369,0.038819,0.570643,0.869634,0.522768,7.1
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=10.0,1.0,1.0,1.0,10.0,3,0.03,10,0.881681,0.04086,0.564329,0.867515,0.567314,7.0
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=10.0,0.8,0.8,1.0,10.0,3,0.03,10,0.880959,0.039856,0.56263,0.877054,0.592484,7.5
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=1.0_scale_pos_weight=1.0_reg_lambda=10.0,0.8,1.0,1.0,10.0,3,0.03,10,0.880343,0.039929,0.561975,0.879703,0.590872,7.2
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.1_min_child_weight=10,0.8,0.8,1.0,1.0,2,0.1,10,0.879504,0.039142,0.549406,0.869104,0.482527,7.1
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.1_min_child_weight=10,0.8,0.8,1.0,1.0,3,0.1,10,0.879128,0.039402,0.546894,0.868574,0.465865,7.2
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.03_min_child_weight=5,0.8,0.8,1.0,1.0,2,0.03,5,0.878795,0.039131,0.560495,0.878643,0.571684,6.0
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.03_min_child_weight=5,0.8,0.8,1.0,1.0,3,0.03,5,0.878469,0.039314,0.552165,0.868045,0.509036,7.7
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.03_min_child_weight=1,0.8,0.8,1.0,1.0,2,0.03,1,0.876789,0.0398,0.56653,0.890302,0.613786,5.9
