band_column,numeric_source,n_both_present,numeric_missing_band_present,numeric_present_band_missing,identical_missingness,values_identical
temperature.over38,8331-1_Oral temperature,992,0,0,True,
pulseOx.under90,59408-5_Oxygen saturation in Arterial blood by Pulse oximetry,1018,0,0,True,
Respiration.over24,9279-1_Respiratory rate,1019,0,0,True,
HeartRate.over100,76282-3_Heart rate.beat-to-beat by EKG,1018,0,0,True,
SBP.below120,8480-6_Systolic blood pressure,1019,0,0,True,
SBP.between120and139,8480-6_Systolic blood pressure,1019,0,0,True,
SBP.above139,8480-6_Systolic blood pressure,1019,0,0,True,
MAP.below65,76536-2_Mean blood pressure by Noninvasive,879,0,0,True,
MAP.between65and90,76536-2_Mean blood pressure by Noninvasive,879,0,0,True,
MAP.above90,76536-2_Mean blood pressure by Noninvasive,879,0,0,True,
Lymphocytes.under1k,731-0_Lymphocytes [#/volume] in Blood by Automated count,732,0,0,True,
Aspartate.over40,1920-8_Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,836,0,0,True,
Alanine.over60,1744-2_Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,836,0,0,True,
Creatinine.above1.2,2160-0_Creatinine [Mass/volume] in Serum or Plasma,874,0,0,True,
Creatinine.between0.5and1.2,2160-0_Creatinine [Mass/volume] in Serum or Plasma,874,0,0,True,
Creatinine.below0.5,2160-0_Creatinine [Mass/volume] in Serum or Plasma,874,0,0,True,
Blood_Urea_Nitrogen.above20,3094-0_Urea nitrogen [Mass/volume] in Serum or Plasma,874,0,0,True,
Blood_Urea_Nitrogen.between5and20,3094-0_Urea nitrogen [Mass/volume] in Serum or Plasma,874,0,0,True,
Blood_Urea_Nitrogen.below5,3094-0_Urea nitrogen [Mass/volume] in Serum or Plasma,874,0,0,True,
Sodium.above145,2951-2_Sodium [Moles/volume] in Serum or Plasma,874,0,0,True,
Sodium.between135and145,2951-2_Sodium [Moles/volume] in Serum or Plasma,874,0,0,True,
Sodium.below135,2951-2_Sodium [Moles/volume] in Serum or Plasma,874,0,0,True,
Potassium.above5.2,2823-3_Potassium [Moles/volume] in Serum or Plasma,828,0,0,True,
Potassium.between3.5and5.2,2823-3_Potassium [Moles/volume] in Serum or Plasma,828,0,0,True,
Potassium.below3.5,2823-3_Potassium [Moles/volume] in Serum or Plasma,828,0,0,True,
Chloride.above107,2075-0_Chloride [Moles/volume] in Serum or Plasma,874,0,0,True,
Chloride.between96and107,2075-0_Chloride [Moles/volume] in Serum or Plasma,874,0,0,True,
Chloride.below96,2075-0_Chloride [Moles/volume] in Serum or Plasma,874,0,0,True,
Bicarbonate.above31,1963-8_Bicarbonate [Moles/volume] in Serum or Plasma,873,0,0,True,
Bicarbonate.between21and31,1963-8_Bicarbonate [Moles/volume] in Serum or Plasma,873,0,0,True,
Bicarbonate.below21,1963-8_Bicarbonate [Moles/volume] in Serum or Plasma,873,0,0,True,
eGFR.above60,"62238-1_Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",859,0,0,True,
eGFR.between30and60,"62238-1_Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",859,0,0,True,
eGFR.below30,"62238-1_Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",859,0,0,True,
blood_pH.above7.45,33254-4_pH of Arterial blood adjusted to patient's actual temperature,169,0,0,True,
blood_pH.between7.35and7.45,33254-4_pH of Arterial blood adjusted to patient's actual temperature,169,0,0,True,
blood_pH.below7.35,33254-4_pH of Arterial blood adjusted to patient's actual temperature,169,0,0,True,
Troponin.above0.01,6598-7_Troponin T.cardiac [Mass/volume] in Serum or Plasma,726,0,0,True,
D_dimer.above3000,48058-2_Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,711,0,0,True,
D_dimer.between500and3000,48058-2_Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,711,0,0,True,
D_dimer.below500,48058-2_Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,711,0,0,True,
ferritin.above1k,2276-4_Ferritin [Mass/volume] in Serum or Plasma,660,0,0,True,
procalcitonin.below0.25,75241-0_Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay,783,0,0,True,
procalcitonin.between0.25and0.5,75241-0_Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay,783,0,0,True,
procalcitonin.above0.5,75241-0_Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay,783,0,0,True,
ESR.above30,30341-2_Erythrocyte sedimentation rate,453,0,0,True,
A1C.over6.5,4548-4_Hemoglobin A1c/Hemoglobin.total in Blood,321,0,0,True,
A1C.under6.5,4548-4_Hemoglobin A1c/Hemoglobin.total in Blood,321,0,0,True,
A1C.6.6to7.9,4548-4_Hemoglobin A1c/Hemoglobin.total in Blood,321,0,0,True,
A1C.8to9.9,4548-4_Hemoglobin A1c/Hemoglobin.total in Blood,321,0,0,True,
A1C.over10,4548-4_Hemoglobin A1c/Hemoglobin.total in Blood,321,0,0,True,
BMI.over30,39156-5_Body mass index (BMI) [Ratio],694,0,0,True,
BMI.over35,39156-5_Body mass index (BMI) [Ratio],694,0,0,True,
2951-2_Sodium [Moles/volume] in Serum or Plasma.1,2951-2_Sodium [Moles/volume] in Serum or Plasma,874,0,0,True,True
