variable,domain,missing_rate_train,missing_rate_inpatient,missing_rate_ER,share_of_missing_that_is_ER,all_n_missing,all_n_observed,all_death_rate_missing,all_death_rate_observed,all_risk_difference,all_odds_ratio_missing_vs_observed,all_fisher_p,inpat_n_missing,inpat_n_observed,inpat_death_rate_missing,inpat_death_rate_observed,inpat_risk_difference,inpat_odds_ratio_missing_vs_observed,inpat_fisher_p
sex,人口統計,0.0186,0.025,0.0,0.0,19,1002,0.9474,0.1168,0.8306,136.154,9.161e-16,19,740,0.9474,0.1568,0.7906,96.828,1.667e-13
spo2,呼吸,0.0029,0.0026,0.0038,0.3333,3,1018,0.0,0.1326,-0.1326,0.0,1.000e+00,2,757,0.0,0.177,-0.177,0.0,1.000e+00
rr,呼吸,0.002,0.0,0.0076,1.0,2,1019,0.0,0.1325,-0.1325,0.0,1.000e+00,0,759,,0.1765,,,1.000e+00
sbp,循環,0.002,0.0013,0.0038,0.5,2,1019,0.0,0.1325,-0.1325,0.0,1.000e+00,1,758,0.0,0.1768,-0.1768,0.0,1.000e+00
bun,腎（急性）,0.144,0.004,0.5496,0.9796,147,874,0.0068,0.1533,-0.1465,0.038,8.337e-09,3,756,0.3333,0.1759,0.1574,2.342,4.421e-01
crp,炎症,0.2233,0.0487,0.729,0.8377,228,793,0.0351,0.1602,-0.1251,0.191,6.034e-08,37,722,0.2162,0.1745,0.0417,1.305,5.085e-01
lymph,血液,0.2831,0.166,0.6221,0.564,289,732,0.1315,0.1325,-0.001,0.991,1.000e+00,126,633,0.2937,0.1532,0.1404,2.297,3.175e-04
ddimer,凝固,0.3036,0.1383,0.7824,0.6613,310,711,0.0742,0.1575,-0.0833,0.429,1.918e-04,105,654,0.2095,0.1713,0.0383,1.283,3.363e-01
lactate,組織灌流,0.2429,0.0804,0.7137,0.754,248,773,0.0282,0.1656,-0.1374,0.146,6.048e-10,61,698,0.1148,0.1819,-0.0672,0.583,2.222e-01
egfr,腎（慢性）,0.1587,0.0237,0.5496,0.8889,162,859,0.0309,0.1513,-0.1205,0.179,3.726e-06,18,741,0.2778,0.1741,0.1037,1.825,3.418e-01
troponin,心筋,0.2889,0.1462,0.7023,0.6237,295,726,0.0475,0.1667,-0.1192,0.249,6.833e-08,111,648,0.1261,0.1852,-0.0591,0.635,1.404e-01
