feature,coefficient,std_error,z,p_value,odds_ratio,or_ci_low,or_ci_high
const,-4.9040413869927795,0.49234984647783386,-9.960481194571805,2.269615143128016e-23,0.007416549276931056,0.002825614675276228,0.01946663275018889
"age_(59,74]",1.2561248585637552,0.33548270832880117,3.7442313042633706,0.0001809469019977442,3.5117864164564314,1.8195529386373022,6.777842827724515
"age_(74,90]",2.022553992647927,0.3681545568804522,5.493763298181025,3.9345777146220914e-08,7.557602366852803,3.67291020939837,15.55098008911441
sex_MALE,0.7241440855721003,0.2631753319321717,2.7515652027703505,0.005931121119818546,2.0629646229127325,1.2316194302412218,3.455469222790629
spo2,-0.4480479074265674,0.10308486527506004,-4.346398535139439,1.3839102379946713e-05,0.6388740764858526,0.5219985177218477,0.781918093152792
sbp,-0.18720132365257738,0.10668436707805237,-1.7547212284215665,0.07930700308851514,0.8292767665508398,0.6728056041004359,1.0221376744631823
crp,0.44541720975776616,0.14150221513924802,3.147775526478117,0.0016451797793299117,1.5611413834007246,1.183028841129654,2.0601039756893194
lymph,-0.4812350478786009,0.1383441379803487,-3.4785358809128484,0.0005041609379531039,0.6180196364250912,0.471241500813147,0.8105149277980275
lymph_missing,0.042380630925656186,0.2937461297320585,0.14427638915383778,0.8852822219520243,1.0432915121983828,0.5866357358756361,1.8554225609875488
ddimer,0.16549819499948598,0.09833137481661021,1.6830660133466364,0.09236231290481235,1.1799808328515278,0.9731395757724625,1.4307862926977937
lactate,0.44351314497414346,0.1017348240263812,4.359501765679907,1.3035890209640815e-05,1.5581716972049944,1.276493102080083,1.9020071741980897
egfr,-0.2601232149425025,0.1331738048010293,-1.9532611186647721,0.05078866217452187,0.7709565865795371,0.5938437294077668,1.0008930446788307
troponin_detectable,0.7600615423050943,0.2884995222487593,2.634533105568645,0.00842530872082236,2.1384078189937523,1.21484059316075,3.764105369936824
comorbidity_1,0.7915583675439992,0.42401202519067366,1.8668299965974877,0.06192533212295834,2.2068328046079846,0.96127963321875,5.066279216992101
comorbidity_2+,0.8850548326534157,0.4052038079444941,2.1842214098211357,0.02894598243112483,2.423117253791483,1.095126588676355,5.361478103384077
comorbidity_NotAbstracted,0.41862718201433874,0.4779561049214759,0.8758695154299068,0.3811009736591917,1.5198736129321486,0.5956216852077103,3.878327227931357
