feature,coefficient,std_error,z,p_value,odds_ratio,or_ci_low,or_ci_high
const,-4.384268963663599,0.3840579667687906,-11.41564384290719,3.4930766329945286e-30,0.012472002289398725,0.005875237780430846,0.026475667355093848
"age_(59,74]",1.3177687164818717,0.33275132411189273,3.9602208045271423,7.488049389040474e-05,3.735078054461219,1.9456344230753984,7.170313141800934
"age_(74,90]",2.153961413019859,0.3647615615151225,5.905121702168606,3.523865129440833e-09,8.618934016244845,4.2166538606703226,17.617292296449776
sex_MALE,0.763936397040049,0.2608104151100229,2.9290870025945184,0.0033995925194247566,2.146709912972881,1.287570844158989,3.5791144785249527
spo2,-0.4691782460924356,0.10263772798228406,-4.57120646876964,4.849241961104981e-06,0.6255160774223191,0.511532326388094,0.7648986054831503
sbp,-0.17980293513613527,0.10578763311022554,-1.6996593065730983,0.08919502788235749,0.8354348300415153,0.6789940692199582,1.027919663640532
crp,0.43179048428627975,0.1388920248023642,3.108821294100177,0.0018783529266041938,1.5400124245556623,1.1730029891156784,2.021851853569254
lymph,-0.4859505856988328,0.13802296214279197,-3.520795222436188,0.00043025474724287915,0.6151122019021552,0.4693199154700661,0.8061942578122925
lymph_missing,0.014681549741938174,0.29195523447477945,0.050286989265152016,0.9598936917150145,1.0147898530644626,0.5726158563103398,1.7984106352173295
ddimer,0.16162419897577127,0.09829244806873143,1.644319600858398,0.10011020263455828,1.1754184348588215,0.9694508913262219,1.4251454192959712
lactate,0.45518634345853387,0.10125953556130954,4.4952442348793165,6.9490139622585e-06,1.576467120000566,1.2926848061580225,1.9225479936050804
egfr,-0.31462245338259054,0.1304693272408453,-2.4114668178046177,0.015888497555076802,0.7300644556090881,0.5653345292614117,0.9427941895573418
troponin_detectable,0.7889896151050925,0.2851594066628923,2.7668370626041265,0.005660303757432884,2.2011712721097245,1.2587100770385864,3.849301803128896
