pipeline,family,comparison,auc_1,auc_2,delta_auc,standard_error,z,p_unadjusted,p_holm,significant_after_holm,source
Human-guided,A,Late Fusion vs Clinical LR,0.9443561208267092,0.9411764705882352,0.0031796502384737,0.013324947100924,0.2386238545182129,0.811397266168344,0.9499502007928002,False,Human-guided final result artifact: 04_全モデル比較・統計解析/LateFusion_vs_Clinical3モデル_DeLong_Holm.csv
Human-guided,A,Late Fusion vs Clinical XGBoost,0.9443561208267092,0.9358770535241124,0.0084790673025967,0.0118686669804902,0.7144077187888634,0.4749751003964001,0.9499502007928002,False,Human-guided final result artifact: 04_全モデル比較・統計解析/LateFusion_vs_Clinical3モデル_DeLong_Holm.csv
Human-guided,A,Late Fusion vs Clinical MLP,0.9443561208267092,0.879703232644409,0.0646528881823,0.0279278068007443,2.315000552803059,0.0206129018163915,0.0618387054491745,False,Human-guided final result artifact: 04_全モデル比較・統計解析/LateFusion_vs_Clinical3モデル_DeLong_Holm.csv
Human-guided,B,Late Fusion vs Clinical,0.9443561208267092,0.9411764705882352,0.0031796502384737,0.013324947100924,0.2386238545182129,0.811397266168344,0.811397266168344,False,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_DeLong_Holm比較.csv
Human-guided,B,Late Fusion vs CXR,0.9443561208267092,0.9072602013778484,0.0370959194488607,0.0185823396607437,1.9962997193097285,0.0459013085921066,0.0918026171842132,False,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_DeLong_Holm比較.csv
AI-Agent,A,Late Fusion (Task C primary) vs Clinical LR,0.944886,0.946476,-0.00159,0.00543,-0.292761,0.769705209570305,0.769705209570305,False,AI-Agent frozen Task C result: results/comparison/delong_results.csv
AI-Agent,A,Late Fusion (Task C primary) vs Clinical XGBoost,0.944886,0.928988,0.015898,0.013163,1.207792,0.2271271487326882,0.5397852089484716,False,AI-Agent frozen Task C result: results/comparison/delong_results.csv
AI-Agent,A,Late Fusion (Task C primary) vs Clinical MLP,0.944886,0.924218,0.020668,0.015412,1.340976,0.1799284029828238,0.5397852089484716,False,AI-Agent frozen Task C result: results/comparison/delong_results.csv
AI-Agent,B,Late Fusion (Task C primary) vs Clinical LR,0.944886,0.946476,-0.00159,0.00543,-0.292761,0.769705209570305,0.769705209570305,False,AI-Agent frozen Task C result: results/comparison/delong_results.csv
AI-Agent,B,Late Fusion (Task C primary) vs CXR ResNet18,0.944886,0.834658,0.110228,0.035803,3.078736,0.0020788075834656,0.0041576151669313,True,AI-Agent frozen Task C result: results/comparison/delong_results.csv
