model,pipeline,split,metric,value,source
Late Fusion,Human-guided,Test,roc_auc,0.944356,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Late Fusion,AI-Agent,Test,roc_auc,0.944886,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Late Fusion,Human-guided,Test,roc_auc_ci_low,0.884473,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Late Fusion,AI-Agent,Test,roc_auc_ci_low,0.892422,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Late Fusion,Human-guided,Test,roc_auc_ci_high,0.985162,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Late Fusion,AI-Agent,Test,roc_auc_ci_high,0.983042,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Late Fusion,Human-guided,Test,pr_auc,0.797135,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Late Fusion,AI-Agent,Test,pr_auc,0.780516,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Late Fusion,Human-guided,Test,brier,0.05921,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Late Fusion,AI-Agent,Test,brier,0.078034,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Late Fusion,Human-guided,Test,ece_10_equal_width,0.064514,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Late Fusion,AI-Agent,Test,ece_10_equal_width,0.128711,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Clinical LR,Human-guided,Test,roc_auc,0.941176,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Clinical LR,AI-Agent,Test,roc_auc,0.946476,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Clinical LR,Human-guided,Test,roc_auc_ci_low,0.887122,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Clinical LR,AI-Agent,Test,roc_auc_ci_low,0.895601,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Clinical LR,Human-guided,Test,roc_auc_ci_high,0.981452,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Clinical LR,AI-Agent,Test,roc_auc_ci_high,0.984632,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Clinical LR,Human-guided,Test,pr_auc,0.800251,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Clinical LR,AI-Agent,Test,pr_auc,0.770898,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Clinical LR,Human-guided,Test,brier,0.057177,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Clinical LR,AI-Agent,Test,brier,0.097765,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
