strategy,space,clinical_component,w_clinical,w_cxr,role,val_auroc,val_auprc,val_brier,val_ece
weighted_average_probability,probability,lr,0.0,1.0,PRIMARY,0.871754,0.562283,0.096479,0.085898
weighted_average_probability,probability,lr,0.05,0.95,PRIMARY,0.887122,0.5748,0.091905,0.079389
weighted_average_probability,probability,lr,0.1,0.9,PRIMARY,0.893482,0.616553,0.08792,0.059994
weighted_average_probability,probability,lr,0.15,0.85,PRIMARY,0.900901,0.631353,0.084524,0.045573
weighted_average_probability,probability,lr,0.2,0.8,PRIMARY,0.903551,0.637651,0.081718,0.075831
weighted_average_probability,probability,lr,0.25,0.75,PRIMARY,0.90779,0.645384,0.0795,0.063474
weighted_average_probability,probability,lr,0.3,0.7,PRIMARY,0.90673,0.632993,0.077872,0.047065
weighted_average_probability,probability,lr,0.35,0.65,PRIMARY,0.90779,0.649328,0.076832,0.051523
weighted_average_probability,probability,lr,0.4,0.6,PRIMARY,0.90991,0.658848,0.076382,0.074385
weighted_average_probability,probability,lr,0.45,0.55,PRIMARY,0.9115,0.669404,0.076521,0.079108
weighted_average_probability,probability,lr,0.5,0.5,PRIMARY,0.915209,0.695163,0.077249,0.081827
weighted_average_probability,probability,lr,0.55,0.45,PRIMARY,0.916799,0.711188,0.078566,0.096679
weighted_average_probability,probability,lr,0.6,0.4,PRIMARY,0.917329,0.709582,0.080472,0.116241
weighted_average_probability,probability,lr,0.65,0.35,PRIMARY,0.919449,0.715441,0.082967,0.122617
weighted_average_probability,probability,lr,0.7,0.3,PRIMARY,0.919449,0.716159,0.086051,0.111696
weighted_average_probability,probability,lr,0.75,0.25,PRIMARY,0.920509,0.717351,0.089724,0.131177
weighted_average_probability,probability,lr,0.8,0.2,PRIMARY,0.916799,0.692769,0.093987,0.129722
weighted_average_probability,probability,lr,0.85,0.15,PRIMARY,0.91097,0.667876,0.098838,0.138735
weighted_average_probability,probability,lr,0.9,0.1,PRIMARY,0.9062,0.653872,0.104279,0.147748
weighted_average_probability,probability,lr,0.95,0.05,PRIMARY,0.900371,0.647328,0.110308,0.159381
weighted_average_probability,probability,lr,1.0,0.0,PRIMARY,0.895072,0.634584,0.116927,0.168053
weighted_average_logit,logit,lr,0.0,1.0,secondary,0.871754,0.562283,0.096479,0.085898
weighted_average_logit,logit,lr,0.05,0.95,secondary,0.875994,0.56415,0.094954,0.081451
weighted_average_logit,logit,lr,0.1,0.9,secondary,0.879703,0.569268,0.093321,0.078652
weighted_average_logit,logit,lr,0.15,0.85,secondary,0.886063,0.575354,0.091559,0.074661
weighted_average_logit,logit,lr,0.2,0.8,secondary,0.890832,0.58835,0.089647,0.076343
weighted_average_logit,logit,lr,0.25,0.75,secondary,0.893482,0.599496,0.087568,0.067421
weighted_average_logit,logit,lr,0.3,0.7,secondary,0.895601,0.595367,0.085318,0.056834
weighted_average_logit,logit,lr,0.35,0.65,secondary,0.9062,0.625073,0.082917,0.049343
weighted_average_logit,logit,lr,0.4,0.6,secondary,0.91044,0.649215,0.080429,0.042135
weighted_average_logit,logit,lr,0.45,0.55,secondary,0.914679,0.65844,0.077978,0.044624
weighted_average_logit,logit,lr,0.5,0.5,secondary,0.918389,0.66815,0.075762,0.062697
weighted_average_logit,logit,lr,0.55,0.45,secondary,0.922099,0.687659,0.074043,0.060414
weighted_average_logit,logit,lr,0.6,0.4,secondary,0.925808,0.704352,0.07311,0.068843
weighted_average_logit,logit,lr,0.65,0.35,secondary,0.926338,0.718276,0.073234,0.066514
weighted_average_logit,logit,lr,0.7,0.3,secondary,0.929518,0.741576,0.074631,0.081447
weighted_average_logit,logit,lr,0.75,0.25,secondary,0.926868,0.73219,0.077457,0.080032
weighted_average_logit,logit,lr,0.8,0.2,secondary,0.921039,0.704147,0.081822,0.094056
weighted_average_logit,logit,lr,0.85,0.15,secondary,0.919979,0.704252,0.087821,0.109478
weighted_average_logit,logit,lr,0.9,0.1,secondary,0.916799,0.692109,0.095559,0.129015
weighted_average_logit,logit,lr,0.95,0.05,secondary,0.90673,0.660797,0.105187,0.143423
weighted_average_logit,logit,lr,1.0,0.0,secondary,0.895072,0.634584,0.116927,0.168053
weighted_average_probability,probability,xgb,0.0,1.0,secondary,0.871754,0.562283,0.096479,0.085898
weighted_average_probability,probability,xgb,0.05,0.95,secondary,0.881293,0.567802,0.092924,0.078292
weighted_average_probability,probability,xgb,0.1,0.9,secondary,0.886592,0.574749,0.089687,0.076328
weighted_average_probability,probability,xgb,0.15,0.85,secondary,0.888712,0.552431,0.086769,0.063909
weighted_average_probability,probability,xgb,0.2,0.8,secondary,0.888712,0.553801,0.08417,0.058441
weighted_average_probability,probability,xgb,0.25,0.75,secondary,0.888712,0.561554,0.081889,0.061136
weighted_average_probability,probability,xgb,0.3,0.7,secondary,0.889242,0.565913,0.079926,0.061812
weighted_average_probability,probability,xgb,0.35,0.65,secondary,0.891892,0.579293,0.078281,0.050621
weighted_average_probability,probability,xgb,0.4,0.6,secondary,0.892952,0.585784,0.076955,0.045836
weighted_average_probability,probability,xgb,0.45,0.55,secondary,0.896131,0.597793,0.075947,0.03778
weighted_average_probability,probability,xgb,0.5,0.5,secondary,0.895601,0.602796,0.075258,0.041807
weighted_average_probability,probability,xgb,0.55,0.45,secondary,0.898251,0.652863,0.074887,0.044961
weighted_average_probability,probability,xgb,0.6,0.4,secondary,0.901431,0.666863,0.074835,0.041674
weighted_average_probability,probability,xgb,0.65,0.35,secondary,0.902491,0.670975,0.0751,0.045228
weighted_average_probability,probability,xgb,0.7,0.3,secondary,0.903551,0.667122,0.075685,0.040912
weighted_average_probability,probability,xgb,0.75,0.25,secondary,0.902491,0.653857,0.076587,0.045145
weighted_average_probability,probability,xgb,0.8,0.2,secondary,0.895601,0.621256,0.077808,0.054507
weighted_average_probability,probability,xgb,0.85,0.15,secondary,0.895601,0.60595,0.079348,0.052447
weighted_average_probability,probability,xgb,0.9,0.1,secondary,0.890302,0.583357,0.081205,0.057232
weighted_average_probability,probability,xgb,0.95,0.05,secondary,0.886592,0.576402,0.083382,0.054245
weighted_average_probability,probability,xgb,1.0,0.0,secondary,0.880763,0.549404,0.085876,0.05865
weighted_average_logit,logit,xgb,0.0,1.0,secondary,0.871754,0.562283,0.096479,0.085898
weighted_average_logit,logit,xgb,0.05,0.95,secondary,0.875994,0.569585,0.094725,0.08468
weighted_average_logit,logit,xgb,0.1,0.9,secondary,0.878643,0.573169,0.09294,0.084587
weighted_average_logit,logit,xgb,0.15,0.85,secondary,0.883943,0.582403,0.09112,0.075503
weighted_average_logit,logit,xgb,0.2,0.8,secondary,0.886063,0.574565,0.089256,0.081563
weighted_average_logit,logit,xgb,0.25,0.75,secondary,0.889772,0.579891,0.087331,0.068965
weighted_average_logit,logit,xgb,0.3,0.7,secondary,0.895072,0.591198,0.085317,0.067581
weighted_average_logit,logit,xgb,0.35,0.65,secondary,0.899311,0.601457,0.083176,0.066271
weighted_average_logit,logit,xgb,0.4,0.6,secondary,0.90514,0.617061,0.080887,0.060506
weighted_average_logit,logit,xgb,0.45,0.55,secondary,0.90567,0.628194,0.07848,0.054231
weighted_average_logit,logit,xgb,0.5,0.5,secondary,0.90991,0.637967,0.076089,0.061601
