strategy,space,clinical_component,w_clinical,w_cxr,role,val_auroc,val_auprc,val_brier,val_ece
weighted_average_probability,probability,lr,0.0,1.0,PRIMARY,0.871754,0.562283,0.096479,0.085898
weighted_average_probability,probability,lr,0.05,0.95,PRIMARY,0.887122,0.5748,0.091905,0.079389
weighted_average_probability,probability,lr,0.1,0.9,PRIMARY,0.893482,0.616553,0.08792,0.059994
weighted_average_probability,probability,lr,0.15,0.85,PRIMARY,0.900901,0.631353,0.084524,0.045573
weighted_average_probability,probability,lr,0.2,0.8,PRIMARY,0.903551,0.637651,0.081718,0.075831
weighted_average_probability,probability,lr,0.25,0.75,PRIMARY,0.90779,0.645384,0.0795,0.063474
weighted_average_probability,probability,lr,0.3,0.7,PRIMARY,0.90673,0.632993,0.077872,0.047065
weighted_average_probability,probability,lr,0.35,0.65,PRIMARY,0.90779,0.649328,0.076832,0.051523
weighted_average_probability,probability,lr,0.4,0.6,PRIMARY,0.90991,0.658848,0.076382,0.074385
weighted_average_probability,probability,lr,0.45,0.55,PRIMARY,0.9115,0.669404,0.076521,0.079108
weighted_average_probability,probability,lr,0.5,0.5,PRIMARY,0.915209,0.695163,0.077249,0.081827
weighted_average_probability,probability,lr,0.55,0.45,PRIMARY,0.916799,0.711188,0.078566,0.096679
weighted_average_probability,probability,lr,0.6,0.4,PRIMARY,0.917329,0.709582,0.080472,0.116241
weighted_average_probability,probability,lr,0.65,0.35,PRIMARY,0.919449,0.715441,0.082967,0.122617
weighted_average_probability,probability,lr,0.7,0.3,PRIMARY,0.919449,0.716159,0.086051,0.111696
weighted_average_probability,probability,lr,0.75,0.25,PRIMARY,0.920509,0.717351,0.089724,0.131177
weighted_average_probability,probability,lr,0.8,0.2,PRIMARY,0.916799,0.692769,0.093987,0.129722
weighted_average_probability,probability,lr,0.85,0.15,PRIMARY,0.91097,0.667876,0.098838,0.138735
weighted_average_probability,probability,lr,0.9,0.1,PRIMARY,0.9062,0.653872,0.104279,0.147748
weighted_average_probability,probability,lr,0.95,0.05,PRIMARY,0.900371,0.647328,0.110308,0.159381
weighted_average_probability,probability,lr,1.0,0.0,PRIMARY,0.895072,0.634584,0.116927,0.168053
