role,path,exists,bytes,sha256,used_for_taskC_design,note
taskA_frozen_selection,<DRIVE_ROOT>\01_TaskA_CXR\04_Training\AIagent_taskA_runs\final_selection.json,True,7396,fd93d6fe83c0a6a023398bf3d6950f2fd70459a4927677b7c7f5939ef36397da,True,
taskA_val_predictions,<DRIVE_ROOT>\01_TaskA_CXR\04_Training\AIagent_taskA_runs\lr3e-4_aug_b\seed42\val_predictions.csv,True,5225,76e5f995d19cada22f82b49787195782c8619cce34d0405b1f9835ddee08f4e5,True,
taskA_val_predictions_seed43,<DRIVE_ROOT>\01_TaskA_CXR\04_Training\AIagent_taskA_runs\lr3e-4_aug_b\seed43\val_predictions.csv,True,5160,e90ca37a63ae8cab24bbaebdae072d7527fc139393300308c56215ca8d4942d6,False,
taskA_val_predictions_seed44,<DRIVE_ROOT>\01_TaskA_CXR\04_Training\AIagent_taskA_runs\lr3e-4_aug_b\seed44\val_predictions.csv,True,5377,34c5431269dde615a82ab402b2beaaf35d18657f20a9a69fe1b0a38c5d39166a,False,
taskA_test_predictions,github_repo\results\taskA\evaluation\test_predictions_primary.csv,True,7683,76dae650320f9e203d70d932082ee9442401a606f89317ef7a5e309e29006190,False,Test predictions: loaded only after the Test evaluation is approved; not used for any Task C design decision
taskB_frozen_selection,results\taskB\modeling\final_selection_taskB.json,True,12254,27bfa7dccd34318f2c5e76ef8f0775e1687cef94320a8c372e181e5b43b803aa,True,
taskB_val_predictions,results\taskB\modeling\validation_predictions.csv,True,8300,179e7324f011566f7878b689ae77ecaea491a4503d253141c482621618058a83,True,
taskB_val_comparison,results\taskB\modeling\validation_comparison.csv,True,1083,0da94e3e5305e17fcc32d5f5a9b76808fb5f5c8b98acba315ecc4ead5cac9bb0,True,
taskB_test_predictions,results\taskB\evaluation\test_predictions_taskB.csv,True,9347,347c88cc911ee72251217dffb0dae1fd0d7294785b569a8e4c650033135b5292,False,Test predictions: loaded only after the Test evaluation is approved; not used for any Task C design decision
split_manifest,data\splits\COVID19_固定患者split_1277.csv,True,44030,626061a532ab7fa05eeb0198019222e8919d04e5e4df720230538149389599f8,True,
